Opent,Open,High,Low,Close,Volume,Close time,Volume pair,TradeNr,useless,useless2,nothing
1682812800000,29230.45000000,29230.49000000,29226.51000000,29226.51000000,27.31090000,1682812979999,798292.79162410,1092,7.00785000,204839.93213860,0
1682812980000,29226.52000000,29226.52000000,29224.22000000,29224.23000000,20.29375000,1682813159999,593114.43642770,896,5.62308000,164342.75125050,0
1682813160000,29224.22000000,29224.23000000,29210.53000000,29214.54000000,37.72225000,1682813339999,1102187.29792670,1289,10.70671000,312842.29050700,0
1682813340000,29214.54000000,29223.28000000,29213.01000000,29213.02000000,17.10613000,1682813519999,499794.06005030,1021,5.44545000,159104.34026660,0
1682813520000,29213.02000000,29217.23000000,29213.01000000,29213.02000000,21.45128000,1682813699999,626683.13284800,971,13.73436000,401233.43038930,0
1682813700000,29213.01000000,29213.37000000,29206.38000000,29206.38000000,19.74229000,1682813879999,576690.28487570,879,9.13163000,266758.33200040,0
1682813880000,29206.39000000,29216.53000000,29193.51000000,29195.13000000,52.03214000,1682814059999,1519688.98352270,1463,27.86348000,813812.30706710,0
1682814060000,29195.12000000,29208.82000000,29195.12000000,29199.93000000,30.98869000,1682814239999,905022.36315310,1073,11.70343000,341770.38908340,0
1682814240000,29199.92000000,29204.06000000,29199.92000000,29203.58000000,15.70277000,1682814419999,458567.69046730,850,5.08062000,148360.97634560,0
1682814420000,29203.58000000,29215.92000000,29203.57000000,29214.44000000,21.57645000,1682814599999,630250.05765390,1006,14.19255000,414547.19663500,0
1682814600000,29214.44000000,29214.44000000,29189.47000000,29189.47000000,16.34497000,1682814779999,477326.94408720,1196,4.69614000,137143.12539640,0
1682814780000,29189.47000000,29194.83000000,29182.97000000,29186.94000000,24.41411000,1682814959999,712596.54497420,1379,11.17680000,326223.29583930,0
1682814960000,29186.93000000,29194.83000000,29183.84000000,29189.78000000,20.05313000,1682815139999,585359.06219950,921,6.69040000,195282.95172230,0
1682815140000,29189.77000000,29193.79000000,29179.88000000,29179.88000000,16.95069000,1682815319999,494752.71674860,1180,3.36278000,98158.58778730,0
1682815320000,29179.89000000,29187.81000000,29179.88000000,29185.01000000,24.64302000,1682815499999,719219.57921490,1009,11.08171000,323401.79656980,0
1682815500000,29185.00000000,29185.01000000,29176.15000000,29180.84000000,18.10790000,1682815679999,528391.26422680,1085,6.29617000,183717.78316860,0
1682815680000,29180.83000000,29183.27000000,29158.99000000,29165.49000000,40.04843000,1682815859999,1168277.38982820,1377,12.29021000,358486.53650670,0
1682815860000,29165.50000000,29177.32000000,29164.46000000,29166.34000000,22.35278000,1682816039999,652032.63409800,996,10.87105000,317094.85866380,0
1682816040000,29166.34000000,29168.11000000,29152.49000000,29155.70000000,19.45016000,1682816219999,567146.67667670,1148,9.14456000,266623.34621440,0
1682816220000,29155.70000000,29155.70000000,29120.43000000,29136.00000000,56.73136000,1682816399999,1652959.01348010,1742,16.69562000,486384.62811050,0
1682816400000,29136.01000000,29147.53000000,29136.00000000,29147.53000000,32.90961000,1682816579999,959016.00474550,1381,25.90151000,754795.54559870,0
1682816580000,29147.53000000,29151.38000000,29128.38000000,29130.02000000,49.83565000,1682816759999,1452232.69614380,1300,14.76594000,430309.52656440,0
1682816760000,29130.03000000,29149.76000000,29130.02000000,29149.76000000,23.72237000,1682816939999,691341.00733180,995,19.49459000,568116.99295590,0
1682816940000,29149.75000000,29149.76000000,29137.72000000,29146.42000000,23.16153000,1682817119999,675023.36893440,1014,12.26426000,357425.77272870,0
1682817120000,29146.42000000,29149.91000000,29140.00000000,29146.95000000,21.12728000,1682817299999,615789.37338730,893,8.28793000,241553.20163450,0
1682817300000,29146.96000000,29153.91000000,29146.95000000,29153.90000000,14.33674000,1682817479999,417931.58702040,665,11.95721000,348565.61366600,0
1682817480000,29153.91000000,29168.46000000,29153.90000000,29157.31000000,19.67255000,1682817659999,573695.33508510,883,7.99528000,233143.99200460,0
1682817660000,29157.32000000,29160.18000000,29157.31000000,29160.18000000,7.91464000,1682817839999,230784.43584280,480,6.05314000,176503.19873550,0
1682817840000,29160.17000000,29160.18000000,29117.27000000,29125.94000000,42.89724000,1682818019999,1249752.87625060,1444,13.05368000,380150.18754010,0
1682818020000,29125.95000000,29138.46000000,29123.96000000,29138.46000000,14.49026000,1682818199999,422096.12942400,824,7.16039000,208583.48848120,0
1682818200000,29138.46000000,29144.93000000,29131.28000000,29144.92000000,14.31002000,1682818379999,416968.87594630,699,6.57590000,191614.92728480,0
1682818380000,29144.93000000,29145.53000000,29100.04000000,29135.44000000,176.32152000,1682818559999,5136509.62989770,2187,81.37913000,2370543.94690210,0
1682818560000,29135.43000000,29135.44000000,29104.97000000,29123.18000000,64.39366000,1682818739999,1874850.32700980,1451,32.75271000,953577.37104310,0
1682818740000,29123.19000000,29123.19000000,29118.71000000,29122.94000000,24.42565000,1682818919999,711318.65002960,814,12.08146000,351828.19897870,0
1682818920000,29122.94000000,29133.50000000,29122.94000000,29133.50000000,15.69197000,1682819099999,457062.90743960,714,10.49772000,305766.73956130,0
1682819100000,29133.49000000,29133.50000000,29102.26000000,29131.23000000,51.54960000,1682819279999,1500931.24759510,1664,22.73101000,661828.43015470,0
1682819280000,29131.23000000,29154.58000000,29131.23000000,29146.93000000,48.46674000,1682819459999,1412316.52685170,1284,19.72333000,574714.29900790,0
1682819460000,29146.94000000,29146.94000000,29131.90000000,29131.91000000,10.31614000,1682819639999,300598.36418000,840,3.20019000,93236.76937220,0
1682819640000,29131.90000000,29136.22000000,29123.19000000,29123.19000000,23.92677000,1682819819999,697001.23063520,822,7.04544000,205235.07615010,0
1682819820000,29123.20000000,29123.20000000,29086.28000000,29096.99000000,51.77728000,1682819999999,1506848.87723610,2304,19.21080000,559019.49774000,0
1682820000000,29097.00000000,29105.40000000,29079.59000000,29100.56000000,54.78682000,1682820179999,1593973.94060950,1660,19.10108000,555758.36076320,0
1682820180000,29100.57000000,29114.86000000,29100.56000000,29112.38000000,35.92614000,1682820359999,1045741.99777440,1014,26.65952000,775989.64417800,0
1682820360000,29112.37000000,29120.53000000,29112.37000000,29120.53000000,24.06567000,1682820539999,700718.44807680,811,15.42537000,449127.24763900,0
1682820540000,29120.53000000,29130.27000000,29120.52000000,29129.75000000,36.66267000,1682820719999,1067883.21667890,964,25.61866000,746181.19844250,0
