Time,Index,Equity,Shares,Entry,Stoploss,Short or Long,Profit
2021-06-09 13:36:00,1,1113692.5780,-60,1894.99000,0.00000,Short,113692.5780
2021-06-09 13:54:00,2,1176212.2766,-33,1894.65000,0.00000,Short,62519.6986
2021-06-10 13:12:00,3,1270734.1050,-50,1890.55000,0.00000,Short,94521.8284
2021-06-10 13:33:00,4,1308434.0428,-20,1885.11000,0.00000,Short,37699.9379
2021-06-10 13:57:00,5,1374594.4230,-35,1890.41000,0.00000,Short,66160.3801
2021-06-10 14:12:00,6,1470964.3604,-51,1889.72000,0.00000,Short,96369.9375
2021-06-10 15:45:00,7,1828557.3636,-189,1892.14000,0.00000,Short,357593.0031
2021-06-10 16:12:00,8,2044324.7568,-114,1892.81000,0.00000,Short,215767.3932
2021-06-21 08:06:00,9,2182991.8562,-78,1777.89000,0.00000,Short,138667.0995
2021-06-21 08:30:00,10,2334423.8698,-85,1781.66000,0.00000,Short,151432.0135
2021-06-24 08:57:00,11,2581937.4381,-139,1780.78000,0.00000,Short,247513.5683
2021-06-24 10:12:00,12,2813389.8501,-130,1780.51000,0.00000,Short,231452.4120
2021-06-24 12:12:00,13,2965250.2379,-85,1786.70000,0.00000,Short,151860.3878
2021-06-24 13:30:00,14,3113332.4424,-83,1784.23000,0.00000,Short,148082.2045
2021-06-25 13:54:00,15,3204435.4159,-51,1786.44000,0.00000,Short,91102.9735
2021-06-30 14:30:00,16,3442304.6429,-135,1762.10000,0.00000,Short,237869.2270
2021-07-02 10:00:00,17,3673945.5436,-130,1781.96000,0.00000,Short,231640.9007
2021-07-07 08:39:00,18,3796676.1394,-68,1804.97000,0.00000,Short,122730.5957
2021-07-07 10:21:00,19,3955669.3992,-88,1806.85000,0.00000,Short,158993.2598
2021-07-09 18:24:00,20,4234481.9894,-154,1810.58000,0.00000,Short,278812.5902
2021-07-22 13:21:00,21,4301101.6720,-37,1800.64000,0.00000,Short,66619.6826
2021-07-22 15:42:00,22,4369686.7967,-38,1804.98000,0.00000,Short,68585.1246
2021-07-22 16:42:00,23,4550193.9656,-100,1805.18000,0.00000,Short,180507.1689
2021-07-27 15:51:00,24,4660010.5562,-61,1800.38000,0.00000,Short,109816.5906
2021-07-30 08:15:00,25,4872139.7877,-116,1828.81000,0.00000,Short,212129.2315
2021-08-03 14:00:00,26,5131490.4757,-143,1813.75000,0.00000,Short,259350.6880
2021-08-05 08:15:00,27,5337975.4059,-114,1811.38000,0.00000,Short,206484.9302
2021-08-19 08:57:00,28,5437914.2892,-56,1784.73000,0.00000,Short,99938.8833
2021-08-19 11:09:00,29,6033745.4072,-333,1789.39000,0.00000,Short,595831.1180
2021-08-24 10:48:00,30,6425298.4126,-217,1804.50000,0.00000,Short,391553.0054
2021-08-26 15:45:00,31,6509546.9673,-47,1792.63000,0.00000,Short,84248.5548
2021-09-01 12:24:00,32,6578449.7529,-38,1813.34000,0.00000,Short,68902.7856
2021-09-09 10:36:00,33,3585351.2529,0,1795.50000,0.00000,Short,-2993098.5000
2021-09-09 12:30:00,34,3702157.6941,-65,1797.13000,0.00000,Short,116806.4412
2021-09-09 13:21:00,35,3811719.9300,-61,1796.21000,0.00000,Short,109562.2359
2021-09-13 13:48:00,36,3908403.8286,-54,1790.55000,0.00000,Short,96683.8986
2021-09-13 14:18:00,37,3999985.1534,-51,1795.82000,0.00000,Short,91581.3248
2021-09-20 08:09:00,38,4184113.6550,-105,1753.71000,0.00000,Short,184128.5016
2021-09-20 12:30:00,39,4279107.9950,-54,1759.26000,0.00000,Short,94994.3400
2021-09-22 15:42:00,40,4488807.3723,-118,1777.22000,0.00000,Short,209699.3773
2021-09-23 11:09:00,41,5026269.8526,-303,1773.91000,0.00000,Short,537462.4803
2021-09-30 13:06:00,42,5097438.7122,-41,1735.93000,0.00000,Short,71168.8596
2021-10-01 09:48:00,43,5265899.9640,-96,1754.91000,0.00000,Short,168461.2517
2021-10-01 13:24:00,44,5415236.0033,-85,1757.00000,0.00000,Short,149336.0393
2021-10-01 16:51:00,45,5598245.2620,-104,1759.81000,0.00000,Short,183009.2588
2021-10-06 12:33:00,46,5997525.6538,-227,1759.05000,0.00000,Short,399280.3917
2021-10-06 16:21:00,47,6235299.0365,-135,1761.39000,0.00000,Short,237773.3827
2021-10-08 11:36:00,48,6970263.3060,-417,1762.61000,0.00000,Short,734964.2695
2021-10-11 14:33:00,49,7063426.4159,-53,1757.90000,0.00000,Short,93163.1099
2021-10-13 13:00:00,50,7140898.2873,-44,1760.83000,0.00000,Short,77471.8714
2021-10-13 16:27:00,51,7639611.4827,-278,1794.04000,0.00000,Short,498713.1954
2021-10-20 08:54:00,52,7890352.2474,-141,1778.41000,0.00000,Short,250740.7647
2021-10-27 19:00:00,53,8217514.0165,-182,1797.70000,0.00000,Short,327161.7691
2021-11-01 18:24:00,54,8569124.7586,-196,1794.04000,0.00000,Short,351610.7421
